파일명,프로그램코드,프로그램명,에피소드,에피소드제목,구간,구간설명,대상,목적,생성여부,파일크기KB,예상길이초
HANGUNG_P01_EP001_S1_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP001,오늘도 잘 하셨어요,S1_opening,오프닝,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP001_FULL_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP001,오늘도 잘 하셨어요,FULL,합본 (5구간 전체),회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP001_S2_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP001,오늘도 잘 하셨어요,S2_story,사연소개,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP001_S3_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP001,오늘도 잘 하셨어요,S3_song_intro,노래소개,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP001_S4_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP001,오늘도 잘 하셨어요,S4_song_bridge,노래재생,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP001_S5_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP001,오늘도 잘 하셨어요,S5_closing,클로징,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP002_S1_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP002,백 번이 넘었어요,S1_opening,오프닝,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP002_FULL_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP002,백 번이 넘었어요,FULL,합본 (5구간 전체),회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP002_S2_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP002,백 번이 넘었어요,S2_story,사연소개,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP002_S3_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP002,백 번이 넘었어요,S3_song_intro,노래소개,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP002_S4_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP002,백 번이 넘었어요,S4_song_bridge,노래재생,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P01_EP002_S5_20260606_v1.mp3,P01,한궁 칭찬 라디오,EP002,백 번이 넘었어요,S5_closing,클로징,회원,"참여 지속, 자존감, 재방문",미생성,,
HANGUNG_P02_EP001_S1_20260606_v1.mp3,P02,기억활력 라디오,EP001,오늘의 기억 한 조각,S1_opening,오프닝,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP001_FULL_20260606_v1.mp3,P02,기억활력 라디오,EP001,오늘의 기억 한 조각,FULL,합본 (5구간 전체),회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP001_S2_20260606_v1.mp3,P02,기억활력 라디오,EP001,오늘의 기억 한 조각,S2_story,사연소개,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP001_S3_20260606_v1.mp3,P02,기억활력 라디오,EP001,오늘의 기억 한 조각,S3_song_intro,노래소개,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP001_S4_20260606_v1.mp3,P02,기억활력 라디오,EP001,오늘의 기억 한 조각,S4_song_bridge,노래재생,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP001_S5_20260606_v1.mp3,P02,기억활력 라디오,EP001,오늘의 기억 한 조각,S5_closing,클로징,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP002_S1_20260606_v1.mp3,P02,기억활력 라디오,EP002,내 인생 한 문장,S1_opening,오프닝,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP002_FULL_20260606_v1.mp3,P02,기억활력 라디오,EP002,내 인생 한 문장,FULL,합본 (5구간 전체),회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP002_S2_20260606_v1.mp3,P02,기억활력 라디오,EP002,내 인생 한 문장,S2_story,사연소개,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP002_S3_20260606_v1.mp3,P02,기억활력 라디오,EP002,내 인생 한 문장,S3_song_intro,노래소개,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP002_S4_20260606_v1.mp3,P02,기억활력 라디오,EP002,내 인생 한 문장,S4_song_bridge,노래재생,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P02_EP002_S5_20260606_v1.mp3,P02,기억활력 라디오,EP002,내 인생 한 문장,S5_closing,클로징,회원,"인지자극, 회상, 일상 루틴",미생성,,
HANGUNG_P03_EP001_S1_20260606_v1.mp3,P03,부모님 안부 라디오,EP001,"엄마, 잘 지내고 계시죠?",S1_opening,오프닝,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP001_FULL_20260606_v1.mp3,P03,부모님 안부 라디오,EP001,"엄마, 잘 지내고 계시죠?",FULL,합본 (5구간 전체),회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP001_S2_20260606_v1.mp3,P03,부모님 안부 라디오,EP001,"엄마, 잘 지내고 계시죠?",S2_story,사연소개,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP001_S3_20260606_v1.mp3,P03,부모님 안부 라디오,EP001,"엄마, 잘 지내고 계시죠?",S3_song_intro,노래소개,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP001_S4_20260606_v1.mp3,P03,부모님 안부 라디오,EP001,"엄마, 잘 지내고 계시죠?",S4_song_bridge,노래재생,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP001_S5_20260606_v1.mp3,P03,부모님 안부 라디오,EP001,"엄마, 잘 지내고 계시죠?",S5_closing,클로징,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP002_S1_20260606_v1.mp3,P03,부모님 안부 라디오,EP002,아버지의 백 번째 한궁,S1_opening,오프닝,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP002_FULL_20260606_v1.mp3,P03,부모님 안부 라디오,EP002,아버지의 백 번째 한궁,FULL,합본 (5구간 전체),회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP002_S2_20260606_v1.mp3,P03,부모님 안부 라디오,EP002,아버지의 백 번째 한궁,S2_story,사연소개,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP002_S3_20260606_v1.mp3,P03,부모님 안부 라디오,EP002,아버지의 백 번째 한궁,S3_song_intro,노래소개,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP002_S4_20260606_v1.mp3,P03,부모님 안부 라디오,EP002,아버지의 백 번째 한궁,S4_song_bridge,노래재생,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P03_EP002_S5_20260606_v1.mp3,P03,부모님 안부 라디오,EP002,아버지의 백 번째 한궁,S5_closing,클로징,회원+가족,"가족 공유, 자녀 결제 유도",미생성,,
HANGUNG_P04_EP001_S1_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP001,월요일 아침 루틴,S1_opening,오프닝,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP001_FULL_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP001,월요일 아침 루틴,FULL,합본 (5구간 전체),회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP001_S2_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP001,월요일 아침 루틴,S2_story,사연소개,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP001_S3_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP001,월요일 아침 루틴,S3_song_intro,노래소개,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP001_S4_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP001,월요일 아침 루틴,S4_song_bridge,노래재생,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP001_S5_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP001,월요일 아침 루틴,S5_closing,클로징,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP002_S1_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP002,금요일 마무리 루틴,S1_opening,오프닝,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP002_FULL_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP002,금요일 마무리 루틴,FULL,합본 (5구간 전체),회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP002_S2_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP002,금요일 마무리 루틴,S2_story,사연소개,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP002_S3_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP002,금요일 마무리 루틴,S3_song_intro,노래소개,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
HANGUNG_P04_EP002_S4_20260606_v1.mp3,P04,오늘의 한궁 루틴 라디오,EP002,금요일 마무리 루틴,S4_song_bridge,노래재생,회원,"매일 접속 습관, 자동화 대량 제작",미생성,,
